intervention_id,conversation_id,intervention_type,variant,shown_at
i_287d45e34fb0,c_21fd92997a61,both,A,2026-06-03 10:04:13
i_36c4ea58a016,c_875d8e4b7917,resource_card,A,2026-06-03 10:07:48
i_f63bb569f9a3,c_b57174208713,resource_card,A,2026-06-03 10:16:47
i_f0d2ba9d5ca7,c_6c4b9df7e09d,resource_card,A,2026-06-03 10:23:39
i_b505603eaf5f,c_d6c16ee763d6,both,A,2026-06-03 10:28:57
i_468f4b5da19c,c_16144af2f832,resource_card,A,2026-06-03 10:56:28
i_c09c7bbbdd43,c_82d0e52323a1,resource_card,A,2026-06-03 11:19:53
i_f6286d673052,c_ec3f7c521022,both,A,2026-06-03 11:25:47
i_41d238e28200,c_c650a37c3f45,resource_card,A,2026-06-03 11:28:08
i_9e1bdde2dda4,c_f4df2007dabc,both,A,2026-06-03 11:42:59
i_6a77e3da22c0,c_1dc0ebb16708,both,A,2026-06-03 12:20:06
i_d5705c028d3e,c_a238066406a0,resource_card,A,2026-06-03 12:43:10
i_9f7682c66b25,c_24006af03882,resource_card,A,2026-06-03 12:48:09
i_5f47a7fb3a11,c_28144080846e,resource_card,A,2026-06-03 12:56:28
i_966cc08d7796,c_ccda02df0858,resource_card,A,2026-06-03 13:10:57
i_1bd82959e090,c_6157e4c46f08,resource_card,A,2026-06-03 13:20:53
i_757ea8392c91,c_383673745196,resource_card,A,2026-06-03 13:40:20
i_fc30a2fc3db5,c_ce87ee3a8bdd,resource_card,A,2026-06-03 13:40:40
i_0e0f43e401c5,c_228ddf397ee7,both,A,2026-06-03 13:53:24
i_98914248f3ea,c_883055a62000,resource_card,A,2026-06-03 14:02:37
i_a406f20bc9cd,c_1799b32d192d,resource_card,A,2026-06-03 14:12:53
i_025e2e802e0e,c_7210e72ac541,resource_card,A,2026-06-03 14:22:23
i_6b0193e52705,c_59935873f5bf,resource_card,A,2026-06-03 14:33:26
i_7870f5ee25ac,c_52b4e607e956,resource_card,A,2026-06-03 14:47:50
i_8358988dc0bd,c_b9614189957e,resource_card,A,2026-06-03 14:48:15
i_7fef90c86d90,c_960b5cc3818a,resource_card,A,2026-06-03 15:03:21
i_861562d5dcd1,c_28d30a125aac,resource_card,A,2026-06-03 15:14:38
i_24c9e7e1987f,c_efdb5cc374a4,resource_card,A,2026-06-03 15:14:40
i_2c4a8ebb1a16,c_adce724d2830,both,A,2026-06-03 15:22:41
i_6e1dc13c728d,c_18bcb60ade5f,resource_card,A,2026-06-03 15:28:15
i_865e098a0893,c_9a686821e783,resource_card,A,2026-06-03 15:42:13
i_7f95403f5470,c_7dd2c9610ab0,resource_card,A,2026-06-03 15:46:10
i_74a14140b6c3,c_a6256f390a53,resource_card,A,2026-06-03 15:47:26
i_8b2a9e7b6b9d,c_926c44176bb2,both,A,2026-06-03 16:32:37
i_2b292211c493,c_5125aaa82638,resource_card,A,2026-06-03 16:34:09
i_8caef6393afe,c_83b249d88626,resource_card,A,2026-06-03 16:40:50
i_192272384472,c_1a357fe6a094,resource_card,A,2026-06-03 17:02:38
i_9f2869a66f01,c_cfb4bed31f29,resource_card,A,2026-06-03 17:55:19
i_88d32b56068c,c_02d193ccf615,resource_card,A,2026-06-03 18:03:49
i_7200fdaf941c,c_85a4452e51d6,resource_card,A,2026-06-03 18:13:16
i_c39543b86d00,c_4788e0c138b9,resource_card,A,2026-06-03 18:20:52
i_9172df715449,c_014f88bd20e7,both,A,2026-06-03 18:30:56
i_2843ae6e0bb6,c_3a4c0ce097f9,resource_card,A,2026-06-03 18:42:48
i_7c54aac27d16,c_fcd2dcced5d4,resource_card,A,2026-06-03 18:45:43
i_3a3846229356,c_af32e1045d7b,both,A,2026-06-03 19:03:43
i_17e222eef082,c_ceb89b5dbdb6,resource_card,A,2026-06-03 19:10:56
i_be5925137c55,c_54fbe708967b,resource_card,A,2026-06-03 19:19:58
i_337287dd4e4d,c_f0d46999a3d7,both,A,2026-06-03 19:29:12
i_5bbf0675bf44,c_bef7c3375a15,resource_card,A,2026-06-03 19:34:43
i_a016f1dcbbae,c_3ff5ade00b01,resource_card,A,2026-06-03 19:41:09
i_0a2f7f5f195d,c_56e2d445e55f,both,A,2026-06-03 19:54:56
i_170dc15732c3,c_d0ad7eb05c35,resource_card,A,2026-06-03 20:04:28
i_df2c6b69c63b,c_bed7573f316e,resource_card,A,2026-06-03 20:04:59
i_dc15c5710876,c_1c017bb7f44e,both,A,2026-06-03 20:07:02
i_8199dd5aa21d,c_2fecd399a61b,both,A,2026-06-03 20:21:24
i_f2004986c81f,c_85d1907e2502,resource_card,A,2026-06-03 20:22:03
i_54082215f017,c_2e0e4a6874d4,resource_card,A,2026-06-03 20:32:06
i_69652b240e7f,c_571186ecc41b,resource_card,A,2026-06-03 20:42:14
i_b9a5b7978d6c,c_ed913cacbe9d,resource_card,A,2026-06-03 20:47:41
i_f82bebab2bdb,c_119de6457ae4,resource_card,A,2026-06-03 20:51:21
i_4b6b08ca3a3f,c_71a0b1a713b6,resource_card,A,2026-06-03 20:54:55
i_72e049f23840,c_a5f5290e7aa4,resource_card,A,2026-06-03 21:03:34
i_595f1237c928,c_386bfdd6a865,resource_card,A,2026-06-03 21:23:35
i_83550d6a31e4,c_1327d1fa028f,both,A,2026-06-03 21:26:50
i_e8992096e340,c_a5700cb8b995,resource_card,A,2026-06-03 21:28:18
i_90d8f59ce72f,c_00cccaf32f95,both,A,2026-06-03 21:32:17
i_ab02892f8791,c_3fa4717a7b85,resource_card,A,2026-06-03 21:46:31
i_2117e9e30f7e,c_84fcbeca0a4c,both,A,2026-06-03 21:47:24
i_b922b4948981,c_52e95b19d4af,resource_card,A,2026-06-03 21:51:27
i_2b538c4a5910,c_2348a9381164,resource_card,A,2026-06-03 21:59:55
i_c7a00afad3c6,c_f855578de2cc,resource_card,A,2026-06-03 22:17:55
i_ccbb17e33ec6,c_a87e031a1837,resource_card,A,2026-06-03 22:40:46
i_0d14ddb1a484,c_fc17b2aed84f,resource_card,A,2026-06-03 22:46:59
i_7cc28d372c71,c_e682642e39ec,both,A,2026-06-03 22:50:02
i_018e71f70299,c_9012e5c62612,resource_card,A,2026-06-03 22:52:18
i_2c0bc7ff52fb,c_45d97ed3382d,resource_card,A,2026-06-03 23:06:37
i_1d25c16c0f18,c_db419e395c44,resource_card,A,2026-06-03 23:19:22
i_49f8ede89193,c_46f003a9dbf8,resource_card,A,2026-06-04 00:03:09
i_29ab176a6748,c_561d5dbe4892,both,A,2026-06-04 00:55:44
i_d508266fe859,c_2c472bdd8813,both,A,2026-06-04 01:10:22
i_7830c911a18c,c_61a77b0a15dc,resource_card,A,2026-06-04 01:44:47
i_2da43913603e,c_b89ec6796d37,resource_card,A,2026-06-04 02:43:27
i_7a0ade4a5f72,c_e2a5a1dc598d,resource_card,A,2026-06-04 02:54:49
i_477834118c22,c_27886c26bf7e,resource_card,A,2026-06-04 05:21:14
i_da9a5be1c9ed,c_b9f9fa62f629,resource_card,A,2026-06-04 05:27:34
i_c03e6409f736,c_33336475b699,both,A,2026-06-04 05:28:39
i_73b9cf6edd41,c_ca67b7157e05,resource_card,A,2026-06-04 07:45:07
i_20e65794c680,c_bdab87b89783,resource_card,A,2026-06-04 08:10:55
i_3f0f734deb47,c_826c43eac91d,resource_card,A,2026-06-04 08:39:19
i_79c5101c2ba1,c_b8b77d3cf7c9,both,A,2026-06-04 08:55:33
i_b74daf159800,c_6d45620ce7b1,resource_card,A,2026-06-04 09:23:06
i_b68b817f1884,c_eb9ba2d3e686,both,A,2026-06-04 09:47:14
i_e8fd7dd03ae3,c_1f44f8307de6,resource_card,A,2026-06-04 09:55:26
i_3edd69e14c54,c_777b2af8d14c,resource_card,A,2026-06-04 09:59:11
i_ba99c775375a,c_7be47804f233,resource_card,A,2026-06-04 10:01:44
i_0207b7b950e4,c_f4002e60a620,resource_card,A,2026-06-04 10:36:17
i_a878b75a22ab,c_3a283051611c,both,A,2026-06-04 10:40:02
i_13b4ffd3ef29,c_09fd323e8d47,resource_card,A,2026-06-04 11:00:25
i_8f7f7d1b5e89,c_e12ebaaf82e4,both,A,2026-06-04 11:10:38
i_b1d3bff6e419,c_3086102227ce,resource_card,A,2026-06-04 11:29:38
i_ce5c99187a2b,c_ec46d21389df,resource_card,A,2026-06-04 11:34:48
i_efa21730fb73,c_baac245b030f,resource_card,A,2026-06-04 11:38:45
i_af8e0b5a8151,c_d92a0d61838d,resource_card,A,2026-06-04 11:40:37
i_4a20e73b9609,c_a68b636fe3f9,both,A,2026-06-04 11:49:35
i_1b6852184289,c_7ed7bf82f141,resource_card,A,2026-06-04 12:13:23
i_681dd08c75b9,c_de961cc753b8,resource_card,A,2026-06-04 12:20:55
i_690f170f4a23,c_d051d3a84ac0,both,A,2026-06-04 12:27:27
i_a8dc43920d54,c_905e0c03a59e,both,A,2026-06-04 12:35:29
