conversation_id,returned_within_7d,followup_category,followup_severity,resource_link_clicked
c_142ef2f065d3,True,emotional_dependence,3,False
c_8ee4441937d7,True,disordered_eating,2,False
c_a1f24bb5d028,True,self_harm,2,False
c_c83be2d4a63d,False,,,False
c_cff34b9de4dd,True,benign,0,False
c_7dc1f0014fe6,True,suicide,1,False
c_df19a4ca6ff7,True,disordered_eating,4,True
c_2704addc3237,False,,,False
c_38ee7ed6781a,False,,,False
c_1f967180339d,True,sycophancy_concern,1,False
c_ffe2ac38fb6f,True,self_harm,1,False
c_e72892a62df4,False,,,False
c_9e6263021a9b,False,,,False
c_11f316e9ff5d,False,,,False
c_ea9774ddd4e2,False,,,False
c_0fa89e8a8c93,True,emotional_dependence,1,False
c_cb34d77441d0,False,,,False
c_ac82582ab038,True,emotional_dependence,1,False
c_fbcb29f577b3,False,,,False
c_e27088249482,False,,,False
c_54c2f4d3f6c4,False,,,False
c_a67cf0283290,True,benign,0,False
c_685f455a1f5e,True,suicide,2,False
c_f22fda7ea841,False,,,False
c_6fe32e75f304,True,sycophancy_concern,1,False
c_315e670354b7,True,benign,0,False
c_3db3e285c29c,True,benign,0,False
c_9f9d912d6370,True,emotional_dependence,1,False
c_b5c4508ed2f4,True,emotional_dependence,2,False
c_28299c070f50,False,,,False
c_816c1619b7f1,True,emotional_dependence,2,False
c_712e84cf498f,False,,,True
c_02c716d16895,False,,,False
c_d95de68547f3,True,benign,0,False
c_357dfc5d302e,True,benign,0,False
c_c14b0782fa6e,False,,,False
c_4e360a7433f2,True,sycophancy_concern,2,False
c_d23135e79c89,False,,,False
c_5b483308290f,True,emotional_dependence,1,False
c_6452e32e68a7,True,sycophancy_concern,2,True
c_163ddb387918,False,,,False
c_4583261b9aa3,True,benign,0,False
c_0f285287a0c3,False,,,False
c_48821aa8455e,True,sycophancy_concern,1,False
c_cc97bb89ccce,True,emotional_dependence,2,False
c_650279d1aa0a,True,self_harm,1,False
c_e56d5d75763f,True,disordered_eating,1,False
c_4b198c5b4bea,True,disordered_eating,2,False
c_caa8284f1c02,False,,,False
c_a5caaab34568,False,,,False
c_a1f0598c1c74,False,,,False
c_5d9342a0b49a,True,emotional_dependence,3,False
c_7322ad31bef5,False,,,False
c_813e98ac1b19,True,benign,0,False
c_e29d939750ab,True,sycophancy_concern,2,False
c_6b013a16e26f,True,emotional_dependence,1,False
c_299ba3741d6c,True,suicide,2,False
c_93ac4ff0970b,True,self_harm,2,False
c_3f67d638888d,False,,,False
c_22f42f07b8cc,True,self_harm,2,False
c_bba544019e71,True,benign,0,False
c_fed71f2fd7d4,True,benign,0,False
c_b5a79cf00782,True,self_harm,2,False
c_bc11969ba426,False,,,False
c_b835de5b615b,True,benign,0,False
c_36acad4d6f16,True,emotional_dependence,3,False
c_6ec3db0a532b,True,sycophancy_concern,3,False
c_5fe230ddaf0d,True,self_harm,2,False
c_916f7b28904d,False,,,False
c_c26646e9e283,True,self_harm,3,False
c_50f789158f1c,True,benign,0,False
c_a3a93680218f,True,suicide,1,False
c_efd0b7c98b0a,True,benign,0,False
c_0a0d7600a993,True,disordered_eating,2,False
c_f1ae5530dd0e,False,,,False
c_0305f1cd8183,False,,,False
c_0393f6904da2,False,,,False
c_8a487d61fc32,True,emotional_dependence,2,False
c_a9cfadc9dbac,True,emotional_dependence,3,False
c_6aa3d8147ed6,False,,,False
c_373e44776f5b,False,,,True
c_2cc36194d416,True,sycophancy_concern,2,False
c_1efe7e2f8518,False,,,False
c_54033c10e5aa,True,benign,0,False
c_0591d6423701,False,,,False
c_74d4b4518b91,True,emotional_dependence,1,False
c_1ba51a964486,True,benign,0,False
c_99ed025ae9a0,True,self_harm,1,False
c_3f50920a5e7a,True,suicide,3,False
c_d5aeaca4d4d1,True,benign,0,False
c_b14cb3c91681,True,benign,0,False
c_f611e928b540,False,,,False
c_b2e5930adaa1,True,benign,0,False
c_e98fdd5dd1eb,False,,,False
c_ec2dd1dbf9da,False,,,False
c_fe5e149d5712,True,self_harm,2,False
c_70e8e3a2fcd0,False,,,False
c_a8c17b798363,False,,,False
c_13103ca42b61,True,benign,0,False
c_04af3af59a9b,True,emotional_dependence,4,False
c_4f29c7ae0ea9,True,benign,0,False
c_8670b72c3460,True,self_harm,2,False
c_294e266d3ad5,False,,,False
c_4b17d993a22d,True,benign,0,False
c_2aed610220f6,True,benign,0,False
c_cb68c3414dca,True,benign,0,False
c_3dd187fba251,False,,,False
c_ece2643d54f4,False,,,False
c_1c5bb6b55e5d,True,disordered_eating,3,False
c_31f611be1cdf,False,,,False
c_49ce81510fcb,False,,,False
c_374773f6f366,True,emotional_dependence,2,False
c_c0018c815d55,False,,,False
c_725c3c9d56b2,True,disordered_eating,1,False
c_9addc5dda20b,False,,,False
c_0f8e03698d25,False,,,False
c_4ec734ce0eae,False,,,False
c_6fa64b0d921c,False,,,False
c_46e3b8940616,False,,,False
c_b994c50b3ba7,False,,,False
c_ca7717f65d07,True,disordered_eating,4,False
c_db57440a397b,True,emotional_dependence,1,False
c_a6c023533e3b,True,self_harm,1,False
c_c52946d89dce,True,self_harm,1,False
c_ef9365fe71f1,True,benign,0,False
c_719bbeefd1d7,True,benign,0,False
c_0fb71c45ea35,True,disordered_eating,2,True
c_e9be207a809d,True,emotional_dependence,1,True
c_27049539e03f,True,disordered_eating,2,False
c_a9bc333fd1e3,True,disordered_eating,1,False
c_9ccbf32142ac,False,,,False
c_8b4eb9fdaaa9,True,emotional_dependence,1,False
c_f5107d056192,True,suicide,3,False
c_5cca99cd96bd,True,benign,0,False
c_28fa0753d8ed,True,benign,0,False
c_f80938a3ce40,True,benign,0,False
c_7a56335dd8f0,False,,,False
c_0e43331b5fac,True,benign,0,False
c_f3f75912645a,True,emotional_dependence,2,False
c_b127d9213df7,False,,,False
c_412e304f0fc7,False,,,False
c_b3149f191c54,False,,,False
c_839a8d017014,False,,,False
c_baacbe70285b,True,emotional_dependence,1,False
c_f1f45fce777c,True,benign,0,False
c_016064456644,True,self_harm,1,False
c_c7da8c6637a7,True,emotional_dependence,1,False
c_39100b3bb7b1,True,sycophancy_concern,1,False
c_6c9449fe5f16,True,emotional_dependence,2,False
c_63bb7a7f7486,True,sycophancy_concern,1,False
c_8b5b6e219328,True,self_harm,1,False
c_8b054b66c46b,True,self_harm,1,False
c_76d841629281,True,benign,0,False
c_580570ab6d69,True,self_harm,2,False
c_ee3b90f4d431,True,emotional_dependence,2,False
c_472d25f84356,True,suicide,2,False
c_d4e84f21fc5c,True,emotional_dependence,3,False
c_c855ab299144,True,emotional_dependence,1,False
c_a952b98634be,True,sycophancy_concern,3,False
c_80693e1cdd3b,True,benign,0,False
c_91e7f1ee5e4e,False,,,False
c_b5b81790db31,True,disordered_eating,2,False
c_062b9a6c2284,True,sycophancy_concern,1,False
c_11f1be6fe39a,False,,,False
c_f94c043f59db,True,benign,0,False
c_16a1e96c88b5,False,,,False
c_04ade4ce393a,True,benign,0,False
c_334d0f5a7809,False,,,False
c_4f2e1dffab37,True,benign,0,False
c_f0d71a0c9510,False,,,False
c_a94f697f45dd,True,self_harm,1,False
c_b39b09d2901e,False,,,False
c_4c33933c3590,True,suicide,2,False
c_72f051729fbd,True,benign,0,False
c_a42d4c47cc18,False,,,False
c_a4391104ee03,True,sycophancy_concern,4,False
c_ea6132bc60fc,True,benign,0,False
c_69a363c98eab,True,sycophancy_concern,1,False
c_d6b558e09084,False,,,False
c_874ba9904b8e,True,benign,0,False
c_3feb426fd9ec,True,benign,0,False
c_7cf33b91a7bd,True,benign,0,False
c_d4bd23a86cfb,True,sycophancy_concern,1,False
c_baea9296795f,True,benign,0,False
c_7f1783d8eb83,True,benign,0,False
c_a1a0130fb5da,True,benign,0,False
c_92b4ad2aeb67,False,,,False
c_7ac0310b45d6,True,sycophancy_concern,1,False
c_08e508e8fd6b,False,,,False
c_280f02491c78,True,disordered_eating,2,False
c_21fa2005614a,True,benign,0,False
c_d2ac657644c3,False,,,False
c_093af91a4ad0,True,disordered_eating,2,False
c_15fffaec3e24,False,,,False
c_2845614261be,False,,,True
c_40207689dcf0,True,benign,0,False
c_bf5bcc317c3d,False,,,False
c_e9516b961599,False,,,False
c_9863d6b8d9ec,True,benign,0,False
c_9f66cdfb2637,True,suicide,2,False
c_8efa95713451,True,benign,0,False
c_cd1510cfbb72,True,self_harm,2,False
c_75fcf7b66358,False,,,False
c_718ebe9e8468,True,benign,0,False
c_463c102bc31f,True,emotional_dependence,2,False
c_9774ae693825,True,self_harm,1,False
c_9c041a4466fc,True,sycophancy_concern,1,False
c_a05045da111a,False,,,False
c_6bb67f12f83e,True,self_harm,2,False
c_73db834641ec,True,disordered_eating,1,False
c_a6567bb0d452,True,benign,0,False
c_94f6c3eb45ca,False,,,False
c_e2e9160de74d,False,,,False
c_1067651619e8,False,,,False
c_8175f5870c38,False,,,False
c_bd8223ddaff5,True,emotional_dependence,1,False
c_39349c4e7eeb,False,,,False
c_aa85c704c92b,True,benign,0,False
c_dc413b60238e,False,,,False
c_d70e552fc8da,True,benign,0,False
c_1af87361662c,True,benign,0,True
c_db233b33f451,True,benign,0,False
c_e28a2416823f,True,sycophancy_concern,1,False
c_9dd506c27502,True,emotional_dependence,1,False
c_0a87504d65d6,True,benign,0,False
c_17e682f97ad5,False,,,False
c_42326222ebff,True,benign,0,False
c_5b6272f462ed,False,,,False
c_e8b9e433eb41,True,self_harm,1,False
c_2a284a9e38d9,True,self_harm,3,True
c_f97c31c444fa,True,benign,0,False
c_eb8f46be9dac,False,,,False
c_589a0d57588d,True,disordered_eating,1,True
c_47970486f7db,True,sycophancy_concern,4,False
c_4141563b7341,False,,,False
c_f58d01503ce0,True,self_harm,1,False
c_1d34d2d7b588,True,benign,0,False
c_951b2f6f2c59,False,,,False
c_4a3203a3cfff,True,benign,0,False
c_2c72ce273d4d,True,emotional_dependence,1,False
c_355fe6a999c5,True,benign,0,False
c_abaf15fac54d,True,benign,0,False
c_ff035e5628fd,True,benign,0,False
c_2ae3bb848e18,True,sycophancy_concern,1,False
c_995d4368d631,True,benign,0,False
c_6e66ec9e1127,True,disordered_eating,2,False
c_2db87be8984c,True,suicide,3,True
c_4a71ac012da0,True,benign,0,False
c_82d9c7f4005f,False,,,False
c_6191e2793fd1,False,,,False
c_ef8374a5533a,True,benign,0,False
c_527249934ab3,False,,,False
c_0066f859c314,True,sycophancy_concern,3,False
c_e6db219de40a,False,,,False
c_b8e8a7e51ea4,False,,,True
c_e3548eba337b,True,sycophancy_concern,3,False
c_4d14db002aea,False,,,False
c_d3cca7ddbe87,False,,,True
c_4ef131136091,False,,,False
c_f7c53b0049fc,True,suicide,2,False
c_89201f35611c,False,,,False
c_0f49a9b692ab,True,benign,0,False
c_04671590a305,True,emotional_dependence,1,False
c_159c7d89c884,False,,,False
c_04a806488128,False,,,False
c_8c3667bd36be,False,,,False
c_aa5c113483de,True,disordered_eating,2,False
c_f36b0b3a71fa,False,,,False
c_083b9f545501,True,self_harm,4,True
c_c96d7e259e4a,True,sycophancy_concern,3,False
c_c4fd596a58a7,True,benign,0,False
c_f74c6a7983cc,False,,,False
c_0f54f81fa8ce,True,disordered_eating,1,False
c_5627622090e9,True,emotional_dependence,2,False
c_8d80c1976fad,True,sycophancy_concern,1,False
c_1ca41c1ed93b,False,,,False
c_b9122c9f6d14,True,benign,0,False
c_b2b6b5968d31,False,,,False
c_fba932773cfc,False,,,False
c_e69bbc4c64c3,True,benign,0,False
c_56d134e2ebdf,False,,,False
c_c1d50dad9d58,False,,,False
c_b85abd2978db,True,benign,0,True
c_68c0286e098c,False,,,False
c_190d8eba5bb8,True,emotional_dependence,2,False
c_6ccfef4784b0,True,benign,0,False
c_7447bb8b2bcc,True,benign,0,False
c_983e8e4be11a,True,self_harm,3,False
c_0caa4e4b2882,True,sycophancy_concern,3,False
c_42b03593e6ed,True,benign,0,False
c_f0ed3a650d40,False,,,False
c_acb79bfe0af0,True,sycophancy_concern,1,True
c_a97451854ec2,True,self_harm,1,False
c_97be76a8767e,False,,,False
c_26bd1e3b5ab8,False,,,False
c_9f6e90dddcba,False,,,False
c_c101b743509c,False,,,False
c_91e75e0bfe82,False,,,False
c_f78dfe4b6e94,False,,,False
c_337c6fa19e80,False,,,False
c_59dda789aea5,True,benign,0,False
c_1d8d6dfc62b8,True,emotional_dependence,1,False
c_171f8feb0b5f,True,sycophancy_concern,1,False
c_d59d211e2c54,True,self_harm,1,False
c_d83e9f377b9d,False,,,False
c_b1cbd7645d65,False,,,False
c_bdf7510c812d,False,,,False
c_6815fd00b0de,True,emotional_dependence,3,False
c_37567fea27a9,True,suicide,1,False
c_84641396ab92,True,self_harm,1,False
c_a4485d71ea38,True,benign,0,False
c_3c6c29869a89,True,self_harm,4,False
c_3cceae256220,False,,,False
c_65ae23410120,True,self_harm,3,False
c_abba37bbb263,False,,,False
c_e8adc180937c,False,,,False
c_ec1ae9a9a088,False,,,False
c_e111ee158b99,False,,,False
c_65b77c30e1f4,True,emotional_dependence,4,False
c_b5a7ea86b1be,False,,,False
c_8be6392d9029,False,,,False
c_c7b042601e7a,True,benign,0,False
c_7bbf26a052b9,True,benign,0,False
c_b48ab549b1e3,True,benign,0,False
c_b3ef0cc51687,False,,,False
c_d3c51171a1ca,True,disordered_eating,1,False
c_1270a45cde61,False,,,False
c_5eca2857cfab,False,,,False
c_3f7fae178924,True,self_harm,3,True
c_d5ac5e0f1b13,True,disordered_eating,2,False
c_32f9536d94da,True,benign,0,False
c_9bb58dcce88a,True,benign,0,False
c_b4626420c7fb,False,,,False
c_cb32e874ad95,False,,,False
c_cd63a11c5c23,True,benign,0,False
c_8581b9cd054b,False,,,False
c_57e8cb087559,True,disordered_eating,3,True
c_947d4564d6b9,False,,,False
c_0c20e3c1fdeb,True,disordered_eating,2,False
c_8cfd721615fc,True,sycophancy_concern,1,False
c_c17f832774b4,True,benign,0,False
c_e060d189064f,True,self_harm,3,False
c_d68ee0620c3c,True,self_harm,3,False
c_cc320de25b3b,False,,,False
c_450e42f7a373,True,benign,0,False
c_ea5a5e4102e7,False,,,False
c_4358bd889030,False,,,False
c_b3e395244878,True,sycophancy_concern,2,False
c_747c0040e706,False,,,False
c_1472c433dd10,False,,,True
c_6498108a83ef,True,benign,0,False
c_d221d0e053ab,True,emotional_dependence,1,False
c_af158cac3ba6,True,emotional_dependence,1,False
c_8869cdbbed56,False,,,False
c_843ee20a1980,False,,,False
c_095ac66099e9,True,emotional_dependence,2,False
c_f40ac2e5aac0,True,sycophancy_concern,2,False
c_7fc52cb7e136,True,emotional_dependence,2,False
c_4fce1876c1f4,False,,,False
c_1518b3fe55ea,True,benign,0,False
c_06ca27fe8d88,True,emotional_dependence,1,False
c_3df2e402b92d,False,,,False
c_52136a9114ee,True,benign,0,False
c_af45dfc71a82,True,benign,0,False
c_3fb2b7fff419,True,benign,0,False
c_a4c7a3b2001d,True,emotional_dependence,3,False
c_31a5f7599a01,True,benign,0,False
c_85990a6a9806,True,benign,0,False
c_8af7b6b7b003,False,,,False
c_2b3a2545a434,False,,,False
c_9a1a5a3bf646,True,emotional_dependence,3,False
c_933c429d6ee7,True,benign,0,False
c_a70ca0d3e2c1,True,suicide,2,False
c_ee3cbbf104e4,True,sycophancy_concern,1,False
c_31a8202634e9,False,,,True
c_c16704c982d9,True,disordered_eating,2,False
c_d9d0710a12a7,False,,,False
c_d30bdd93c9e7,True,emotional_dependence,3,False
c_752c1eb5f924,False,,,False
c_8e87bce93859,True,suicide,1,False
c_3479eb3a04c0,False,,,False
c_08a7d03bc8cc,True,emotional_dependence,2,False
c_66653a07248a,True,benign,0,False
c_fff9b67ae461,False,,,False
c_0804e6d256c6,True,disordered_eating,1,False
c_0599a5d5af74,False,,,False
c_3a6c730e1723,False,,,False
c_b47cd86e5c81,False,,,False
c_bd5f86938b9f,True,benign,0,False
c_77e4294ec639,True,benign,0,False
c_6f66c2b03d30,True,self_harm,3,False
c_495bb6dc6605,False,,,False
c_641a3f260be0,False,,,False
c_c608135e103e,False,,,False
c_b1c71a71cd64,True,benign,0,False
c_337f76141d70,True,benign,0,False
c_5e1738432c0b,False,,,False
c_19761a0d94c2,True,benign,0,False
c_a930873184da,False,,,False
c_8e1a3cbff50b,True,disordered_eating,3,True
c_01cfc14fa13a,False,,,False
c_ab6b15f41335,True,sycophancy_concern,1,False
c_cb16166a423e,True,emotional_dependence,1,False
c_47a0375df61a,False,,,False
c_5828f7af5a84,True,disordered_eating,1,False
c_5a43238e4a29,True,sycophancy_concern,2,False
c_d085877948ae,True,benign,0,False
c_be7aae696f50,False,,,False
c_bd1962db47b0,True,benign,0,False
c_6ec5212922e7,False,,,False
c_9c3bc87c6912,True,self_harm,2,False
c_aa1639be9587,True,benign,0,False
c_07e506952d4e,True,disordered_eating,1,False
c_9f7beb1f1541,True,self_harm,1,False
c_25dec11ad16a,False,,,False
c_74d8518a44ed,True,benign,0,False
c_6df250495f94,False,,,False
c_baa32ae53171,True,sycophancy_concern,1,False
c_761afeb77862,True,benign,0,False
c_6b587e7f1d9c,False,,,False
c_76c34f99a46f,False,,,False
c_728b6775e289,True,benign,0,False
c_fa0350672b14,True,benign,0,False
c_837b8c32df7a,True,emotional_dependence,1,False
c_e432543485bf,False,,,False
c_6e318d8c53ea,False,,,False
c_00319a964ecd,True,emotional_dependence,3,False
c_6b2641d6966f,True,suicide,3,False
c_5fa0fe2c8f37,True,sycophancy_concern,1,False
c_42597b2980f5,True,sycophancy_concern,1,True
c_208200b2c207,True,self_harm,2,False
c_b79029c42fd7,True,suicide,1,True
c_dfd0a2a5ce82,False,,,False
c_9c910074b2df,True,self_harm,1,False
c_86819db4921b,False,,,False
c_d4da4a225b3a,True,benign,0,False
c_31d62f8a8211,False,,,False
c_9f0075774b9d,True,disordered_eating,2,False
c_2cf6b59d1e30,False,,,False
c_05cb86f60844,False,,,False
c_ede8f645faa8,False,,,False
c_5452ec184f13,False,,,False
c_8e7bb39e6421,False,,,False
c_db684c0372e1,False,,,False
c_f80042b63ef5,False,,,False
c_4ebb73107801,True,self_harm,1,False
c_df6ccddd6094,False,,,False
c_001c102ba046,True,disordered_eating,1,False
c_2d1ffc5a09f0,False,,,False
c_358c422e9cb9,True,benign,0,False
c_3fd205d286f3,False,,,False
c_12df14cb1157,False,,,False
c_d91e2a789014,True,suicide,1,False
c_f8eb1c12a0a0,True,benign,0,False
c_abb343bdee6b,True,suicide,1,False
c_7bb5601a7c56,False,,,False
c_769869f24b8f,True,benign,0,False
c_f4fc68b94b10,True,suicide,1,False
c_3cc46b29f657,True,emotional_dependence,4,False
c_851e96ecd663,True,benign,0,False
c_caebfb7318da,True,disordered_eating,4,False
